Date,Time,pH,NTU,Temperature(C),
20/04/2025,19:31:02,4.37,80,28.75,Signs of Water Pollution
20/04/2025,19:31:04,4.37,80,28.69,Signs of Water Pollution
20/04/2025,19:31:05,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:07,4.38,80,28.69,Signs of Water Pollution
20/04/2025,19:31:08,4.38,80,28.69,Signs of Water Pollution
20/04/2025,19:31:10,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:12,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:13,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:15,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:16,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:18,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:20,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:21,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:23,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:24,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:26,4.39,80,28.75,Signs of Water Pollution
20/04/2025,19:31:28,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:29,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:31,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:33,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:34,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:36,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:37,4.38,80,28.75,Signs of Water Pollution
20/04/2025,19:31:39,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:41,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:42,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:44,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:45,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:47,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:49,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:50,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:52,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:53,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:55,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:57,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:31:58,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:32:00,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:32:02,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:32:03,4.38,80,28.81,Signs of Water Pollution
20/04/2025,19:32:05,4.37,80,28.81,Signs of Water Pollution
20/04/2025,19:32:06,4.37,80,28.81,Signs of Water Pollution
